STAT_DATE,XMMC,year,month,day
2015-12-30,(B)冬瓜(半),2015,12,30
2015-12-31,(B)冬瓜(半),2015,12,31
2016-01-01,(B)冬瓜(半),2016,1,1
2016-01-02,(B)冬瓜(半),2016,1,2
2016-01-03,(B)冬瓜(半),2016,1,3
2016-01-04,(B)冬瓜(半),2016,1,4
2016-01-05,(B)冬瓜(半),2016,1,5
2016-01-06,(B)冬瓜(半),2016,1,6
2016-01-07,(B)冬瓜(半),2016,1,7
2016-01-08,(B)冬瓜(半),2016,1,8
2016-01-09,(B)冬瓜(半),2016,1,9
2016-01-10,(B)冬瓜(半),2016,1,10
2016-01-11,(B)冬瓜(半),2016,1,11
2016-01-12,(B)冬瓜(半),2016,1,12
2016-01-13,(B)冬瓜(半),2016,1,13
2016-01-14,(B)冬瓜(半),2016,1,14
2016-01-15,(B)冬瓜(半),2016,1,15
2016-01-16,(B)冬瓜(半),2016,1,16
2016-01-17,(B)冬瓜(半),2016,1,17
2016-01-18,(B)冬瓜(半),2016,1,18
2016-01-19,(B)冬瓜(半),2016,1,19
2016-01-20,(B)冬瓜(半),2016,1,20
2016-01-21,(B)冬瓜(半),2016,1,21
2016-01-22,(B)冬瓜(半),2016,1,22
2016-01-23,(B)冬瓜(半),2016,1,23
2016-01-24,(B)冬瓜(半),2016,1,24
2016-01-25,(B)冬瓜(半),2016,1,25
2016-01-26,(B)冬瓜(半),2016,1,26
2016-01-27,(B)冬瓜(半),2016,1,27
2016-01-28,(B)冬瓜(半),2016,1,28
2016-01-29,(B)冬瓜(半),2016,1,29
2016-01-30,(B)冬瓜(半),2016,1,30
2016-01-31,(B)冬瓜(半),2016,1,31
2016-02-01,(B)冬瓜(半),2016,2,1
2016-02-02,(B)冬瓜(半),2016,2,2
2016-02-03,(B)冬瓜(半),2016,2,3
2016-02-04,(B)冬瓜(半),2016,2,4
2016-02-05,(B)冬瓜(半),2016,2,5
2016-02-06,(B)冬瓜(半),2016,2,6
2016-02-09,(B)冬瓜(半),2016,2,9
2016-02-10,(B)冬瓜(半),2016,2,10
2016-02-11,(B)冬瓜(半),2016,2,11
2016-02-12,(B)冬瓜(半),2016,2,12
2016-02-13,(B)冬瓜(半),2016,2,13
2016-02-14,(B)冬瓜(半),2016,2,14
2016-02-15,(B)冬瓜(半),2016,2,15
2016-02-16,(B)冬瓜(半),2016,2,16
2016-02-17,(B)冬瓜(半),2016,2,17
2016-02-18,(B)冬瓜(半),2016,2,18
2016-02-19,(B)冬瓜(半),2016,2,19
2016-02-20,(B)冬瓜(半),2016,2,20
2016-02-21,(B)冬瓜(半),2016,2,21
2016-02-22,(B)冬瓜(半),2016,2,22
2016-02-23,(B)冬瓜(半),2016,2,23
2016-02-24,(B)冬瓜(半),2016,2,24
2016-02-25,(B)冬瓜(半),2016,2,25
2016-02-26,(B)冬瓜(半),2016,2,26
2016-02-27,(B)冬瓜(半),2016,2,27
2016-02-28,(B)冬瓜(半),2016,2,28
2016-02-29,(B)冬瓜(半),2016,2,29
2016-03-01,(B)冬瓜(半),2016,3,1
2016-03-02,(B)冬瓜(半),2016,3,2
2016-03-03,(B)冬瓜(半),2016,3,3
2016-03-04,(B)冬瓜(半),2016,3,4
2016-03-05,(B)冬瓜(半),2016,3,5
2016-03-06,(B)冬瓜(半),2016,3,6
2016-03-07,(B)冬瓜(半),2016,3,7
2016-03-08,(B)冬瓜(半),2016,3,8
2016-03-09,(B)冬瓜(半),2016,3,9
2016-03-10,(B)冬瓜(半),2016,3,10
2016-03-11,(B)冬瓜(半),2016,3,11
2016-03-12,(B)冬瓜(半),2016,3,12
2016-03-13,(B)冬瓜(半),2016,3,13
2016-03-14,(B)冬瓜(半),2016,3,14
2016-03-15,(B)冬瓜(半),2016,3,15
2016-03-16,(B)冬瓜(半),2016,3,16
2016-03-17,(B)冬瓜(半),2016,3,17
2016-03-18,(B)冬瓜(半),2016,3,18
2016-03-19,(B)冬瓜(半),2016,3,19
2016-03-20,(B)冬瓜(半),2016,3,20
2016-03-21,(B)冬瓜(半),2016,3,21
2016-03-22,(B)冬瓜(半),2016,3,22
2016-03-23,(B)冬瓜(半),2016,3,23
2016-03-24,(B)冬瓜(半),2016,3,24
2016-03-25,(B)冬瓜(半),2016,3,25
2016-03-26,(B)冬瓜(半),2016,3,26
2016-03-27,(B)冬瓜(半),2016,3,27
2016-03-28,(B)冬瓜(半),2016,3,28
2016-03-29,(B)冬瓜(半),2016,3,29
2016-03-30,(B)冬瓜(半),2016,3,30
2016-03-31,(B)冬瓜(半),2016,3,31
2016-04-01,(B)冬瓜(半),2016,4,1
2016-04-02,(B)冬瓜(半),2016,4,2
2016-04-03,(B)冬瓜(半),2016,4,3
2016-04-04,(B)冬瓜(半),2016,4,4
2016-04-05,(B)冬瓜(半),2016,4,5
2016-04-06,(B)冬瓜(半),2016,4,6
2016-04-07,(B)冬瓜(半),2016,4,7
2016-04-08,(B)冬瓜(半),2016,4,8
2016-04-09,(B)冬瓜(半),2016,4,9
2016-04-10,(B)冬瓜(半),2016,4,10
2016-04-11,(B)冬瓜(半),2016,4,11
2016-04-12,(B)冬瓜(半),2016,4,12
2016-04-13,(B)冬瓜(半),2016,4,13
