STAT_DATE,XMMC,date
2016-06-10,(B)╤╛╧о(╟К),20160610
2016-06-11,(B)╤╛╧о(╟К),20160611
2016-06-12,(B)╤╛╧о(╟К),20160612
2016-06-13,(B)╤╛╧о(╟К),20160613
2016-06-14,(B)╤╛╧о(╟К),20160614
2016-06-15,(B)╤╛╧о(╟К),20160615
2016-06-16,(B)╤╛╧о(╟К),20160616
2016-06-17,(B)╤╛╧о(╟К),20160617
2016-06-18,(B)╤╛╧о(╟К),20160618
2016-06-19,(B)╤╛╧о(╟К),20160619
2016-06-20,(B)╤╛╧о(╟К),20160620
2016-06-21,(B)╤╛╧о(╟К),20160621
2016-06-22,(B)╤╛╧о(╟К),20160622
2016-06-23,(B)╤╛╧о(╟К),20160623
2016-06-24,(B)╤╛╧о(╟К),20160624
2016-06-25,(B)╤╛╧о(╟К),20160625
2016-06-26,(B)╤╛╧о(╟К),20160626
2016-06-27,(B)╤╛╧о(╟К),20160627
2016-06-28,(B)╤╛╧о(╟К),20160628
2016-06-29,(B)╤╛╧о(╟К),20160629
2016-06-30,(B)╤╛╧о(╟К),20160630
2016-07-01,(B)╤╛╧о(╟К),20160701
2016-07-02,(B)╤╛╧о(╟К),20160702
2016-07-03,(B)╤╛╧о(╟К),20160703
2016-07-04,(B)╤╛╧о(╟К),20160704
2016-07-05,(B)╤╛╧о(╟К),20160705
2016-07-06,(B)╤╛╧о(╟К),20160706
2016-07-07,(B)╤╛╧о(╟К),20160707
2016-07-08,(B)╤╛╧о(╟К),20160708
2016-07-09,(B)╤╛╧о(╟К),20160709
2016-07-10,(B)╤╛╧о(╟К),20160710
2016-07-11,(B)╤╛╧о(╟К),20160711
2016-07-12,(B)╤╛╧о(╟К),20160712
2016-07-13,(B)╤╛╧о(╟К),20160713
2016-07-14,(B)╤╛╧о(╟К),20160714
2016-07-15,(B)╤╛╧о(╟К),20160715
2016-07-16,(B)╤╛╧о(╟К),20160716
2016-07-17,(B)╤╛╧о(╟К),20160717
2016-07-18,(B)╤╛╧о(╟К),20160718
2016-07-19,(B)╤╛╧о(╟К),20160719
2016-07-20,(B)╤╛╧о(╟К),20160720
2016-07-21,(B)╤╛╧о(╟К),20160721
2016-07-22,(B)╤╛╧о(╟К),20160722
2016-07-23,(B)╤╛╧о(╟К),20160723
2016-07-24,(B)╤╛╧о(╟К),20160724
2016-07-25,(B)╤╛╧о(╟К),20160725
2016-07-26,(B)╤╛╧о(╟К),20160726
2016-07-27,(B)╤╛╧о(╟К),20160727
2016-07-28,(B)╤╛╧о(╟К),20160728
2016-07-29,(B)╤╛╧о(╟К),20160729
2016-07-30,(B)╤╛╧о(╟К),20160730
2016-07-31,(B)╤╛╧о(╟К),20160731
2016-08-01,(B)╤╛╧о(╟К),20160801
2016-08-02,(B)╤╛╧о(╟К),20160802
2016-08-03,(B)╤╛╧о(╟К),20160803
2016-08-04,(B)╤╛╧о(╟К),20160804
2016-08-05,(B)╤╛╧о(╟К),20160805
2016-08-06,(B)╤╛╧о(╟К),20160806
2016-08-07,(B)╤╛╧о(╟К),20160807
2016-08-08,(B)╤╛╧о(╟К),20160808
2016-08-09,(B)╤╛╧о(╟К),20160809
2016-08-10,(B)╤╛╧о(╟К),20160810
2016-08-11,(B)╤╛╧о(╟К),20160811
2016-08-12,(B)╤╛╧о(╟К),20160812
2016-08-13,(B)╤╛╧о(╟К),20160813
2016-08-14,(B)╤╛╧о(╟К),20160814
2016-08-15,(B)╤╛╧о(╟К),20160815
2016-08-16,(B)╤╛╧о(╟К),20160816
2016-08-17,(B)╤╛╧о(╟К),20160817
2016-08-18,(B)╤╛╧о(╟К),20160818
2016-08-19,(B)╤╛╧о(╟К),20160819
2016-08-20,(B)╤╛╧о(╟К),20160820
2016-08-21,(B)╤╛╧о(╟К),20160821
2016-08-22,(B)╤╛╧о(╟К),20160822
2016-08-23,(B)╤╛╧о(╟К),20160823
2016-08-24,(B)╤╛╧о(╟К),20160824
2016-08-25,(B)╤╛╧о(╟К),20160825
2016-08-26,(B)╤╛╧о(╟К),20160826
2016-08-27,(B)╤╛╧о(╟К),20160827
2016-08-28,(B)╤╛╧о(╟К),20160828
2016-08-29,(B)╤╛╧о(╟К),20160829
2016-08-30,(B)╤╛╧о(╟К),20160830
2016-08-31,(B)╤╛╧о(╟К),20160831
2016-09-01,(B)╤╛╧о(╟К),20160901
2016-09-02,(B)╤╛╧о(╟К),20160902
2016-09-03,(B)╤╛╧о(╟К),20160903
2016-09-04,(B)╤╛╧о(╟К),20160904
2016-09-05,(B)╤╛╧о(╟К),20160905
2016-09-06,(B)╤╛╧о(╟К),20160906
2016-09-07,(B)╤╛╧о(╟К),20160907
2016-09-08,(B)╤╛╧о(╟К),20160908
2016-09-09,(B)╤╛╧о(╟К),20160909
2016-09-10,(B)╤╛╧о(╟К),20160910
2016-09-11,(B)╤╛╧о(╟К),20160911
2016-09-12,(B)╤╛╧о(╟К),20160912
2016-09-13,(B)╤╛╧о(╟К),20160913
2016-09-14,(B)╤╛╧о(╟К),20160914
2016-09-15,(B)╤╛╧о(╟К),20160915
2016-09-16,(B)╤╛╧о(╟К),20160916
2016-09-17,(B)╤╛╧о(╟К),20160917
2016-09-18,(B)╤╛╧о(╟К),20160918
2016-09-19,(B)╤╛╧о(╟К),20160919
2016-09-20,(B)╤╛╧о(╟К),20160920
2016-09-21,(B)╤╛╧о(╟К),20160921
2016-09-22,(B)╤╛╧о(╟К),20160922
2016-09-23,(B)╤╛╧о(╟К),20160923
2016-09-24,(B)╤╛╧о(╟К),20160924
2016-09-25,(B)╤╛╧о(╟К),20160925
2016-09-26,(B)╤╛╧о(╟К),20160926
2016-09-27,(B)╤╛╧о(╟К),20160927
2016-09-28,(B)╤╛╧о(╟К),20160928
2016-09-29,(B)╤╛╧о(╟К),20160929
2016-09-30,(B)╤╛╧о(╟К),20160930
2016-10-01,(B)╤╛╧о(╟К),20161001
2016-10-02,(B)╤╛╧о(╟К),20161002
2016-10-03,(B)╤╛╧о(╟К),20161003
2016-10-04,(B)╤╛╧о(╟К),20161004
2016-10-05,(B)╤╛╧о(╟К),20161005
2016-10-06,(B)╤╛╧о(╟К),20161006
2016-10-07,(B)╤╛╧о(╟К),20161007
2016-10-08,(B)╤╛╧о(╟К),20161008
2016-10-09,(B)╤╛╧о(╟К),20161009
2016-10-10,(B)╤╛╧о(╟К),20161010
2016-10-11,(B)╤╛╧о(╟К),20161011
2016-10-12,(B)╤╛╧о(╟К),20161012
2016-10-13,(B)╤╛╧о(╟К),20161013
2016-10-14,(B)╤╛╧о(╟К),20161014
2016-10-15,(B)╤╛╧о(╟К),20161015
2016-10-16,(B)╤╛╧о(╟К),20161016
2016-10-17,(B)╤╛╧о(╟К),20161017
2016-10-18,(B)╤╛╧о(╟К),20161018
2016-10-19,(B)╤╛╧о(╟К),20161019
2016-10-20,(B)╤╛╧о(╟К),20161020
2016-10-21,(B)╤╛╧о(╟К),20161021
2016-10-22,(B)╤╛╧о(╟К),20161022
2016-10-23,(B)╤╛╧о(╟К),20161023
2016-10-24,(B)╤╛╧о(╟К),20161024
2016-10-25,(B)╤╛╧о(╟К),20161025
2016-10-26,(B)╤╛╧о(╟К),20161026
