STAT_DATE,XMMC,day_of_week,common_holiday,holiday
20160523,(B)╤╛╧о(╟К),0,0,0
20160524,(B)╤╛╧о(╟К),1,0,0
20160525,(B)╤╛╧о(╟К),2,0,0
20160526,(B)╤╛╧о(╟К),3,0,0
20160527,(B)╤╛╧о(╟К),4,0,0
20160528,(B)╤╛╧о(╟К),5,1,1
20160529,(B)╤╛╧о(╟К),6,1,1
20160530,(B)╤╛╧о(╟К),0,0,0
20160531,(B)╤╛╧о(╟К),1,0,0
20160601,(B)╤╛╧о(╟К),2,0,0
20160602,(B)╤╛╧о(╟К),3,0,0
20160603,(B)╤╛╧о(╟К),4,0,0
20160604,(B)╤╛╧о(╟К),5,1,1
20160605,(B)╤╛╧о(╟К),6,1,1
20160606,(B)╤╛╧о(╟К),0,0,0
20160607,(B)╤╛╧о(╟К),1,0,0
20160608,(B)╤╛╧о(╟К),2,0,0
20160609,(B)╤╛╧о(╟К),3,0,2
20160610,(B)╤╛╧о(╟К),4,0,2
20160611,(B)╤╛╧о(╟К),5,1,2
20160612,(B)╤╛╧о(╟К),6,1,0
20160613,(B)╤╛╧о(╟К),0,0,0
20160614,(B)╤╛╧о(╟К),1,0,0
20160615,(B)╤╛╧о(╟К),2,0,0
20160616,(B)╤╛╧о(╟К),3,0,0
20160617,(B)╤╛╧о(╟К),4,0,0
20160618,(B)╤╛╧о(╟К),5,1,1
20160619,(B)╤╛╧о(╟К),6,1,1
20160620,(B)╤╛╧о(╟К),0,0,0
20160621,(B)╤╛╧о(╟К),1,0,0
20160622,(B)╤╛╧о(╟К),2,0,0
20160623,(B)╤╛╧о(╟К),3,0,0
20160624,(B)╤╛╧о(╟К),4,0,0
20160625,(B)╤╛╧о(╟К),5,1,1
20160626,(B)╤╛╧о(╟К),6,1,1
20160627,(B)╤╛╧о(╟К),0,0,0
20160628,(B)╤╛╧о(╟К),1,0,0
20160629,(B)╤╛╧о(╟К),2,0,0
20160630,(B)╤╛╧о(╟К),3,0,0
20160701,(B)╤╛╧о(╟К),4,0,0
20160702,(B)╤╛╧о(╟К),5,1,1
20160703,(B)╤╛╧о(╟К),6,1,1
20160704,(B)╤╛╧о(╟К),0,0,0
20160705,(B)╤╛╧о(╟К),1,0,0
20160706,(B)╤╛╧о(╟К),2,0,0
20160707,(B)╤╛╧о(╟К),3,0,0
20160708,(B)╤╛╧о(╟К),4,0,0
20160709,(B)╤╛╧о(╟К),5,1,1
20160710,(B)╤╛╧о(╟К),6,1,1
20160711,(B)╤╛╧о(╟К),0,0,0
20160712,(B)╤╛╧о(╟К),1,0,0
20160713,(B)╤╛╧о(╟К),2,0,0
20160714,(B)╤╛╧о(╟К),3,0,0
20160715,(B)╤╛╧о(╟К),4,0,0
20160716,(B)╤╛╧о(╟К),5,1,1
20160717,(B)╤╛╧о(╟К),6,1,1
20160718,(B)╤╛╧о(╟К),0,0,0
20160719,(B)╤╛╧о(╟К),1,0,0
20160720,(B)╤╛╧о(╟К),2,0,0
20160721,(B)╤╛╧о(╟К),3,0,0
20160722,(B)╤╛╧о(╟К),4,0,0
20160723,(B)╤╛╧о(╟К),5,1,1
20160724,(B)╤╛╧о(╟К),6,1,1
20160725,(B)╤╛╧о(╟К),0,0,0
20160726,(B)╤╛╧о(╟К),1,0,0
20160727,(B)╤╛╧о(╟К),2,0,0
20160728,(B)╤╛╧о(╟К),3,0,0
20160729,(B)╤╛╧о(╟К),4,0,0
20160730,(B)╤╛╧о(╟К),5,1,1
20160731,(B)╤╛╧о(╟К),6,1,1
20160801,(B)╤╛╧о(╟К),0,0,0
20160802,(B)╤╛╧о(╟К),1,0,0
20160803,(B)╤╛╧о(╟К),2,0,0
20160804,(B)╤╛╧о(╟К),3,0,0
20160805,(B)╤╛╧о(╟К),4,0,0
20160806,(B)╤╛╧о(╟К),5,1,1
20160807,(B)╤╛╧о(╟К),6,1,1
20160808,(B)╤╛╧о(╟К),0,0,0
20160809,(B)╤╛╧о(╟К),1,0,0
20160810,(B)╤╛╧о(╟К),2,0,0
20160811,(B)╤╛╧о(╟К),3,0,0
20160812,(B)╤╛╧о(╟К),4,0,0
20160813,(B)╤╛╧о(╟К),5,1,1
20160814,(B)╤╛╧о(╟К),6,1,1
20160815,(B)╤╛╧о(╟К),0,0,0
20160816,(B)╤╛╧о(╟К),1,0,0
20160817,(B)╤╛╧о(╟К),2,0,0
20160818,(B)╤╛╧о(╟К),3,0,0
20160819,(B)╤╛╧о(╟К),4,0,0
20160820,(B)╤╛╧о(╟К),5,1,1
20160821,(B)╤╛╧о(╟К),6,1,1
20160822,(B)╤╛╧о(╟К),0,0,0
20160823,(B)╤╛╧о(╟К),1,0,0
20160824,(B)╤╛╧о(╟К),2,0,0
20160825,(B)╤╛╧о(╟К),3,0,0
20160826,(B)╤╛╧о(╟К),4,0,0
20160827,(B)╤╛╧о(╟К),5,1,1
20160828,(B)╤╛╧о(╟К),6,1,1
20160829,(B)╤╛╧о(╟К),0,0,0
20160830,(B)╤╛╧о(╟К),1,0,0
20160831,(B)╤╛╧о(╟К),2,0,0
20160901,(B)╤╛╧о(╟К),3,0,0
20160902,(B)╤╛╧о(╟К),4,0,0
20160903,(B)╤╛╧о(╟К),5,1,1
20160904,(B)╤╛╧о(╟К),6,1,1
20160905,(B)╤╛╧о(╟К),0,0,0
20160906,(B)╤╛╧о(╟К),1,0,0
20160907,(B)╤╛╧о(╟К),2,0,0
20160908,(B)╤╛╧о(╟К),3,0,0
20160909,(B)╤╛╧о(╟К),4,0,0
20160910,(B)╤╛╧о(╟К),5,1,1
20160911,(B)╤╛╧о(╟К),6,1,1
20160912,(B)╤╛╧о(╟К),0,0,0
20160913,(B)╤╛╧о(╟К),1,0,0
20160914,(B)╤╛╧о(╟К),2,0,0
20160915,(B)╤╛╧о(╟К),3,0,2
20160916,(B)╤╛╧о(╟К),4,0,2
20160917,(B)╤╛╧о(╟К),5,1,2
20160918,(B)╤╛╧о(╟К),6,1,0
20160919,(B)╤╛╧о(╟К),0,0,0
20160920,(B)╤╛╧о(╟К),1,0,0
20160921,(B)╤╛╧о(╟К),2,0,0
20160922,(B)╤╛╧о(╟К),3,0,0
20160923,(B)╤╛╧о(╟К),4,0,0
20160924,(B)╤╛╧о(╟К),5,1,1
20160925,(B)╤╛╧о(╟К),6,1,1
20160926,(B)╤╛╧о(╟К),0,0,0
20160927,(B)╤╛╧о(╟К),1,0,0
20160928,(B)╤╛╧о(╟К),2,0,0
20160929,(B)╤╛╧о(╟К),3,0,0
20160930,(B)╤╛╧о(╟К),4,0,0
20161001,(B)╤╛╧о(╟К),5,1,2
20161002,(B)╤╛╧о(╟К),6,1,2
20161003,(B)╤╛╧о(╟К),0,0,2
20161004,(B)╤╛╧о(╟К),1,0,2
20161005,(B)╤╛╧о(╟К),2,0,2
20161006,(B)╤╛╧о(╟К),3,0,2
20161007,(B)╤╛╧о(╟К),4,0,2
20161008,(B)╤╛╧о(╟К),5,1,0
20161009,(B)╤╛╧о(╟К),6,1,0
20161010,(B)╤╛╧о(╟К),0,0,0
20161011,(B)╤╛╧о(╟К),1,0,0
20161012,(B)╤╛╧о(╟К),2,0,0
20161013,(B)╤╛╧о(╟К),3,0,0
20161014,(B)╤╛╧о(╟К),4,0,0
20161015,(B)╤╛╧о(╟К),5,1,1
20161016,(B)╤╛╧о(╟К),6,1,1
20161017,(B)╤╛╧о(╟К),0,0,0
20161018,(B)╤╛╧о(╟К),1,0,0
20161019,(B)╤╛╧о(╟К),2,0,0
