STAT_DATE,XMMC,CMSL,CMSL_outlier,same_week1_sales_percent
2015-12-15,(B)¶¬¹Ï(°ë),96,60.0,0.10301507537688442
2015-12-16,(B)¶¬¹Ï(°ë),49,49.0,0.13819095477386933
2015-12-17,(B)¶¬¹Ï(°ë),49,49.0,0.12562814070351758
2015-12-18,(B)¶¬¹Ï(°ë),67,61.5,0.15852047556142668
2015-12-19,(B)¶¬¹Ï(°ë),64,64.0,0.20871862615587847
2015-12-20,(B)¶¬¹Ï(°ë),71,71.0,0.17965653896961692
2015-12-21,(B)¶¬¹Ï(°ë),47,47.0,0.1142668428005284
2015-12-22,(B)¶¬¹Ï(°ë),43,43.0,0.10303830911492734
2015-12-23,(B)¶¬¹Ï(°ë),44,44.0,0.1142668428005284
2015-12-24,(B)¶¬¹Ï(°ë),66,66.0,0.1215323645970938
2015-12-25,(B)¶¬¹Ï(°ë),74,61.5,0.1422924901185771
2015-12-26,(B)¶¬¹Ï(°ë),78,78.0,0.16487859966120835
2015-12-27,(B)¶¬¹Ï(°ë),84,79.5,0.20045172219085264
2015-12-28,(B)¶¬¹Ï(°ë),51,51.0,0.13551665725578768
2015-12-29,(B)¶¬¹Ï(°ë),47,47.0,0.13551665725578768
2015-12-30,(B)¶¬¹Ï(°ë),57,57.0,0.11067193675889328
2015-12-31,(B)¶¬¹Ï(°ë),94,61.5,0.11067193675889328
2016-01-01,(B)¶¬¹Ï(°ë),91,83.25,0.15510718789407313
2016-01-02,(B)¶¬¹Ï(°ë),89,83.25,0.1614123581336696
2016-01-03,(B)¶¬¹Ï(°ë),68,68.0,0.17906683480453972
2016-01-04,(B)¶¬¹Ï(°ë),35,46.25,0.11853720050441362
2016-01-05,(B)¶¬¹Ï(°ë),53,53.0,0.10844892812105927
2016-01-06,(B)¶¬¹Ï(°ë),44,44.0,0.11097099621689786
2016-01-07,(B)¶¬¹Ï(°ë),53,53.0,0.1664564943253468
2016-01-08,(B)¶¬¹Ï(°ë),56,56.0,0.14121699196326062
2016-01-09,(B)¶¬¹Ï(°ë),75,75.0,0.1791044776119403
2016-01-10,(B)¶¬¹Ï(°ë),66,66.0,0.182548794489093
2016-01-11,(B)¶¬¹Ï(°ë),30,46.25,0.11710677382319173
2016-01-12,(B)¶¬¹Ï(°ë),54,54.0,0.1079219288174512
2016-01-13,(B)¶¬¹Ï(°ë),48,48.0,0.13088404133180254
2016-01-14,(B)¶¬¹Ï(°ë),60,60.0,0.14121699196326062
2016-01-15,(B)¶¬¹Ï(°ë),55,55.0,0.19326755658734765
2016-01-16,(B)¶¬¹Ï(°ë),76,73.25,0.19326755658734765
2016-01-17,(B)¶¬¹Ï(°ë),71,71.0,0.1578641903656413
2016-01-18,(B)¶¬¹Ï(°ë),49,49.0,0.1073708647707487
2016-01-19,(B)¶¬¹Ï(°ë),62,62.0,0.12304120719674985
2016-01-20,(B)¶¬¹Ï(°ë),62,62.0,0.10214741729541497
2016-01-21,(B)¶¬¹Ï(°ë),62,62.0,0.12304120719674985
2016-01-22,(B)¶¬¹Ï(°ë),63,63.0,0.13818630475015423
2016-01-23,(B)¶¬¹Ï(°ë),73,73.0,0.1850709438618137
2016-01-24,(B)¶¬¹Ï(°ë),69,69.0,0.16286243059839606
2016-01-25,(B)¶¬¹Ï(°ë),51,51.0,0.11412708204811844
2016-01-26,(B)¶¬¹Ï(°ë),47,47.0,0.13325107958050586
2016-01-27,(B)¶¬¹Ï(°ë),37,46.5,0.11844540407156076
2016-01-28,(B)¶¬¹Ï(°ë),50,50.0,0.14805675508945096
2016-01-29,(B)¶¬¹Ï(°ë),51,51.0,0.1266551525618883
2016-01-30,(B)¶¬¹Ï(°ë),66,68.25,0.16868163500287853
2016-01-31,(B)¶¬¹Ï(°ë),74,74.0,0.16350028785261947
2016-02-01,(B)¶¬¹Ï(°ë),48,48.0,0.11283822682786414
2016-02-02,(B)¶¬¹Ï(°ë),55,55.0,0.14277489925158318
2016-02-03,(B)¶¬¹Ï(°ë),45,45.0,0.14277489925158318
2016-02-04,(B)¶¬¹Ï(°ë),41,46.5,0.14277489925158318
2016-02-05,(B)¶¬¹Ï(°ë),39,46.5,0.15769712140175218
2016-02-06,(B)¶¬¹Ï(°ë),42,68.25,0.18272841051314143
2016-02-09,(B)¶¬¹Ï(°ë),40,64.75,0.17271589486858574
2016-02-10,(B)¶¬¹Ï(°ë),62,62.0,0.1276595744680851
2016-02-11,(B)¶¬¹Ï(°ë),70,62.0,0.11764705882352941
2016-02-12,(B)¶¬¹Ï(°ë),54,64.75,0.11639549436795996
2016-02-13,(B)¶¬¹Ï(°ë),71,71.0,0.1251564455569462
2016-02-14,(B)¶¬¹Ï(°ë),58,58.0,0.13152804642166344
2016-02-15,(B)¶¬¹Ï(°ë),41,41.0,0.1760154738878143
2016-02-16,(B)¶¬¹Ï(°ë),40,40.0,0.19084461637653127
2016-02-17,(B)¶¬¹Ï(°ë),46,46.0,0.12379110251450677
2016-02-18,(B)¶¬¹Ï(°ë),42,42.0,0.14184397163120568
2016-02-19,(B)¶¬¹Ï(°ë),62,46.75,0.11605415860735009
2016-02-20,(B)¶¬¹Ï(°ë),66,66.0,0.11992263056092843
2016-02-21,(B)¶¬¹Ï(°ë),55,55.0,0.10586226522481502
2016-02-22,(B)¶¬¹Ï(°ë),45,45.0,0.1553784860557769
2016-02-23,(B)¶¬¹Ï(°ë),37,37.0,0.14741035856573706
2016-02-24,(B)¶¬¹Ï(°ë),44,44.0,0.14114968696642002
2016-02-25,(B)¶¬¹Ï(°ë),51,46.75,0.14114968696642002
2016-02-26,(B)¶¬¹Ï(°ë),41,41.0,0.14741035856573706
2016-02-27,(B)¶¬¹Ï(°ë),72,72.0,0.1616391576550939
2016-02-28,(B)¶¬¹Ï(°ë),82,72.25,0.17071376011773362
2016-02-29,(B)¶¬¹Ï(°ë),32,37.75,0.12067696835908756
2016-03-01,(B)¶¬¹Ï(°ë),34,37.75,0.1177336276674025
2016-03-02,(B)¶¬¹Ï(°ë),41,41.0,0.13539367181751288
2016-03-03,(B)¶¬¹Ï(°ë),49,49.0,0.12362030905077263
2016-03-04,(B)¶¬¹Ï(°ë),43,43.0,0.13760117733627666
2016-03-05,(B)¶¬¹Ï(°ë),71,71.0,0.19426048565121412
2016-03-06,(B)¶¬¹Ï(°ë),54,54.0,0.16140865737344093
2016-03-07,(B)¶¬¹Ï(°ë),29,37.75,0.13206162876008803
2016-03-08,(B)¶¬¹Ï(°ë),52,46.75,0.10858400586940573
2016-03-09,(B)¶¬¹Ï(°ë),33,37.75,0.12912692589875274
2016-03-10,(B)¶¬¹Ï(°ë),38,38.0,0.1371973587674248
2016-03-11,(B)¶¬¹Ï(°ë),51,46.75,0.12032281731474688
2016-03-12,(B)¶¬¹Ï(°ë),73,73.0,0.21129860601614087
2016-03-13,(B)¶¬¹Ï(°ë),64,70.75,0.20540156361051884
2016-03-14,(B)¶¬¹Ï(°ë),29,29.0,0.10732054015636106
2016-03-15,(B)¶¬¹Ï(°ë),34,34.0,0.10732054015636106
2016-03-16,(B)¶¬¹Ï(°ë),30,30.0,0.11656005685856433
2016-03-17,(B)¶¬¹Ï(°ë),37,37.0,0.13930348258706468
2016-03-18,(B)¶¬¹Ï(°ë),57,45.5,0.12224591329068941
2016-03-19,(B)¶¬¹Ï(°ë),79,79.0,0.20184790334044064
2016-03-20,(B)¶¬¹Ï(°ë),72,72.0,0.16167664670658682
2016-03-21,(B)¶¬¹Ï(°ë),35,35.0,0.11302395209580839
2016-03-22,(B)¶¬¹Ï(°ë),29,29.0,0.13997005988023953
2016-03-23,(B)¶¬¹Ï(°ë),27,27.0,0.11302395209580839
2016-03-24,(B)¶¬¹Ï(°ë),26,26.0,0.11377245508982035
2016-03-25,(B)¶¬¹Ï(°ë),54,45.5,0.13997005988023953
2016-03-26,(B)¶¬¹Ï(°ë),104,79.25,0.218562874251497
2016-03-27,(B)¶¬¹Ï(°ë),72,72.0,0.2175249807840123
2016-03-28,(B)¶¬¹Ï(°ë),34,34.0,0.08916218293620293
2016-03-29,(B)¶¬¹Ï(°ë),45,45.0,0.10453497309761722
2016-03-30,(B)¶¬¹Ï(°ë),37,37.0,0.09223674096848578
